year_deg,sample_deg,serial_deg,cbserial,hhwt_deg,cluster_deg,strata_deg,gq_deg,pernum_deg,perwt_deg,educ,educd,degfield,degfieldd,degfield2,degfield2d,year_occ,sample_occ,serial_occ,hhwt_occ,cluster_occ,strata_occ,gq_occ,pernum_occ,perwt_occ,occ,ind
2013,201301,287071,485119,85.0,2013002870711,110512,1,1,85.0,10,101,62,6201,62,6201,2013,201301,287071,85.0,2013002870711,110512,1,1,85.0,800,6670
2013,201301,287071,485119,85.0,2013002870711,110512,1,1,85.0,10,101,62,6201,62,6201,2014,201401,1174187,28.0,2014011741871,80048,1,1,28.0,5000,3590
2013,201301,287071,485119,85.0,2013002870711,110512,1,1,85.0,10,101,62,6201,62,6201,2014,201401,1174187,28.0,2014011741871,80048,1,2,13.0,3255,8190
2013,201301,287071,485119,85.0,2013002870711,110512,1,1,85.0,10,101,62,6201,62,6201,2014,201401,1174187,28.0,2014011741871,80048,1,3,16.0,0,0
2013,201301,287071,485119,85.0,2013002870711,110512,1,1,85.0,10,101,62,6201,62,6201,2014,201401,1174187,28.0,2014011741871,80048,1,4,20.0,0,0
2013,201301,287071,485119,85.0,2013002870711,110512,1,1,85.0,10,101,62,6201,62,6201,2014,201401,1174187,28.0,2014011741871,80048,1,5,14.0,0,0
2013,201301,287071,485119,85.0,2013002870711,110512,1,1,85.0,10,101,62,6201,62,6201,2015,201501,524878,66.0,2015005248781,190221,1,1,66.0,940,7280
2013,201301,287071,485119,85.0,2013002870711,110512,1,1,85.0,10,101,62,6201,62,6201,2015,201501,524878,66.0,2015005248781,190221,1,2,74.0,300,3580
2013,201301,287071,485119,85.0,2013002870711,110512,1,1,85.0,10,101,62,6201,62,6201,2016,201601,677474,135.0,2016006774741,110327,1,1,135.0,0,0
2013,201301,1312870,1031177,155.0,2013013128701,1160353,1,1,154.0,10,101,62,6201,62,6201,2013,201301,1312870,155.0,2013013128701,1160353,1,1,154.0,120,5170
2013,201301,1312870,1031177,155.0,2013013128701,1160353,1,1,154.0,10,101,62,6201,62,6201,2013,201301,1312870,155.0,2013013128701,1160353,1,2,118.0,710,7390
2013,201301,1312870,1031177,155.0,2013013128701,1160353,1,1,154.0,10,101,62,6201,62,6201,2015,201501,167764,61.0,2015001677641,730806,1,1,60.0,3910,9370
2013,201301,1312870,1031177,155.0,2013013128701,1160353,1,1,154.0,10,101,62,6201,62,6201,2016,201601,790911,64.0,2016007909111,30234,1,1,64.0,50,4270
2013,201301,1312870,1031177,155.0,2013013128701,1160353,1,1,154.0,10,101,62,6201,62,6201,2016,201601,790911,64.0,2016007909111,30234,1,2,92.0,4010,8680
2014,201401,81285,155141,57.0,2014000812851,810606,1,1,57.0,10,101,62,6201,62,6201,2013,201301,81570,98.0,2013000815701,373906,1,1,98.0,2310,7860
2014,201401,81285,155141,57.0,2014000812851,810606,1,1,57.0,10,101,62,6201,62,6201,2013,201301,81570,98.0,2013000815701,373906,1,2,167.0,0,0
2014,201401,81285,155141,57.0,2014000812851,810606,1,1,57.0,10,101,62,6201,62,6201,2014,201401,81285,57.0,2014000812851,810606,1,1,57.0,20,680
2014,201401,81285,155141,57.0,2014000812851,810606,1,1,57.0,10,101,62,6201,62,6201,2014,201401,81285,57.0,2014000812851,810606,1,2,47.0,4760,5380
2014,201401,81285,155141,57.0,2014000812851,810606,1,1,57.0,10,101,62,6201,62,6201,2014,201401,81285,57.0,2014000812851,810606,1,3,88.0,3640,5070
2014,201401,81285,155141,57.0,2014000812851,810606,1,1,57.0,10,101,62,6201,62,6201,2014,201401,81285,57.0,2014000812851,810606,1,4,88.0,4020,7870
