"YEAR","SAMPLE","SERIAL","CBSERIAL","HHWT","CLUSTER","STRATA","GQ","PERNUM","PERWT","EDUC","EDUCD","DEGFIELD","DEGFIELDD","DEGFIELD2","DEGFIELD2D"
2013,201301,287071,485119,85.0,2013002870711,110512,1,1,85.0,10,101,62,6201,62,6201
2013,201301,1312870,1031177,155.0,2013013128701,1160353,1,1,154.0,10,101,62,6201,62,6201
2014,201401,81285,155141,57.0,2014000812851,810606,1,1,57.0,10,101,62,6201,62,6201
2015,201501,908047,511723,62.0,2015009080471,120637,1,1,63.0,10,101,62,6201,62,6201
2016,201601,595336,67618,84.0,2016005953361,330225,1,1,84.0,11,114,62,6201,62,6201
2016,201601,978815,958794,80.0,2016009788151,180239,1,1,80.0,10,101,62,6201,62,6201
2018,201801,23121,2018000282212,27.0,2018000231211,40002,1,3,37.0,10,101,62,6201,62,6201
2018,201801,527328,2018000780024,144.0,2018005273281,20020,1,1,144.0,10,101,62,6201,62,6201
2018,201801,1267673,2018001114939,78.0,2018012676731,232248,1,2,87.0,10,101,62,6201,62,6201
2018,201801,1283606,2018001336642,177.0,2018012836061,232248,1,2,204.0,10,101,62,6201,62,6201
2019,201901,207135,2019001258269,69.0,2019002071351,810106,1,2,82.0,11,114,62,6201,62,6201
2021,202101,93344,2021000047384,79.0,2021000933441,373406,1,2,80.0,10,101,62,6201,62,6201
2022,202201,492171,2022001036932,40.0,2022004921711,311317,1,1,40.0,11,114,62,6201,62,6201
2022,202201,880189,2022010035140,5.0,2022008801891,120636,4,1,5.0,11,114,62,6201,62,6201
2023,202301,202236,2023001103258,56.0,2023002022361,377206,1,1,56.0,11,115,62,6201,62,6201
